,hora,temp_inst,umid_inst,vento_rajada,diff_wind
590,10,24.9,83,5.2,3.2
591,9,23.4,88,3.9,2.2
592,8,23.5,89,3.3,1.9
593,7,23.6,89,2.8,1.6999999999999997
594,6,23.4,90,2.4,1.5999999999999999
595,5,23.6,89,2.0,1.0
596,4,23.4,88,1.4,0.8999999999999999
597,3,23.6,87,1.6,1.2000000000000002
598,2,23.8,86,1.4,0.8999999999999999
599,1,24.3,83,2.0,1.3
600,22,26.5,76,6.2,4.9
601,23,26.3,78,3.6,2.6
602,0,26.0,81,3.2,2.0
603,1,25.9,81,3.9,2.9
604,2,26.3,81,4.4,2.7
605,3,26.6,77,6.0,3.1
606,4,26.3,75,7.5,4.9
607,5,25.8,78,7.5,6.4
608,6,24.1,86,3.3,1.7999999999999998
609,7,23.5,88,2.3,1.4
610,8,23.8,86,3.6,1.9000000000000001
611,9,23.7,85,3.9,2.0999999999999996
612,10,24.9,81,3.7,1.8000000000000003
613,11,26.8,70,6.8,4.1
614,12,28.2,56,9.2,5.199999999999999
615,13,29.1,54,10.4,6.300000000000001
616,14,30.3,53,10.4,6.7
617,15,30.7,54,9.9,5.0
618,16,30.5,56,11.1,5.8999999999999995
619,17,30.3,56,11.4,7.1000000000000005
620,18,29.2,61,10.1,5.8999999999999995
621,19,29.0,61,8.8,5.300000000000001
622,20,28.1,65,8.0,4.9
623,21,27.0,73,6.6,3.9999999999999996
624,21,26.9,74,7.5,5.4
625,23,26.5,80,4.9,3.0000000000000004
626,0,25.5,81,2.9,2.0999999999999996
627,1,24.7,86,1.8,1.5
628,2,26.4,80,4.2,2.3000000000000003
629,3,26.6,77,6.9,4.5
630,4,26.5,75,6.8,4.4
631,5,26.1,75,5.8,3.6999999999999997
632,6,24.9,82,5.5,4.3
633,7,24.6,82,3.3,1.9999999999999998
634,8,23.7,86,3.2,2.1
635,9,23.6,86,3.4,2.0
636,10,25.2,80,4.4,2.4000000000000004
637,11,26.9,74,6.0,3.1
638,12,27.6,70,7.8,5.1
639,13,29.0,64,7.9,4.6000000000000005
640,14,28.9,60,8.9,5.4
641,15,29.5,60,9.4,5.5
642,16,30.3,57,12.1,7.6
643,17,30.0,58,11.0,6.6
644,18,29.4,58,10.2,5.3999999999999995
645,19,28.7,63,10.2,5.699999999999999
646,20,28.1,67,8.6,5.699999999999999
647,22,26.6,77,7.2,4.800000000000001
648,1,27.0,77,6.5,4.3
649,0,26.9,78,5.5,2.9
650,23,26.3,78,4.9,3.2
651,22,26.5,77,5.9,4.1000000000000005
652,21,27.0,71,7.0,4.3
653,20,28.0,64,7.0,3.9
654,19,29.5,57,7.8,4.699999999999999
655,18,30.3,53,9.0,5.6
656,17,31.2,50,8.1,4.699999999999999
657,16,30.6,46,9.4,6.300000000000001
658,15,31.0,46,10.7,7.199999999999999
659,14,30.3,48,10.7,6.1
660,13,29.5,49,10.0,7.0
