,Unnamed: 0,i,j,rmse,r2
353,353,540.0,420.0,28.457614081311736,-0.01173710838821762
354,354,540.0,450.0,28.482020241895015,-0.013473248800738968
355,355,540.0,480.0,28.48206960001905,-0.0134767614154514
356,356,540.0,510.0,28.482128191264078,-0.013480931121316209
357,357,540.0,540.0,28.482150481667453,-0.013482517442918729
358,358,540.0,570.0,28.482180913936425,-0.013484683191538284
359,359,540.0,600.0,28.482221510184555,-0.013487572275426851
360,360,570.0,30.0,81.4879745463596,-7.295790091899987
361,361,570.0,60.0,49.992441872700745,-2.1223343639236574
362,362,570.0,90.0,33.662351555788995,-0.4156621177843936
363,363,570.0,120.0,28.793070728365837,-0.03573028749256668
364,364,570.0,150.0,28.295680422359794,-0.0002556008717111702
365,365,570.0,180.0,28.398561466078963,-0.007542537992921261
366,366,570.0,210.0,28.46422028700781,-0.012206896137664458
367,367,570.0,240.0,28.478324611826267,-0.013210263296882241
368,368,570.0,270.0,28.481593749586548,-0.013442897350554706
369,369,570.0,300.0,28.48199544080007,-0.013471483811099416
370,370,570.0,330.0,28.482053166467924,-0.013475591906520812
371,371,570.0,360.0,28.481856788065247,-0.013461616507303377
372,372,570.0,390.0,28.481910129920696,-0.013465412606278091
373,373,570.0,420.0,28.482126970054345,-0.013480844212589773
374,374,570.0,450.0,28.482027868566316,-0.013473791559174495
375,375,570.0,480.0,28.482156188188117,-0.013482923554073212
376,376,570.0,510.0,28.482105386549488,-0.013479308199464413
377,377,570.0,540.0,28.48214231928864,-0.013481936557914851
378,378,570.0,570.0,28.482185208731195,-0.013484988835902543
379,379,570.0,600.0,28.48221725829007,-0.01348726968372782
380,380,600.0,30.0,83.45466030269391,-7.701054634865033
381,381,600.0,60.0,50.63745666364081,-2.2034243856269304
382,382,600.0,90.0,33.887686823465394,-0.4346783940304446
383,383,600.0,120.0,28.87160181550209,-0.04138775603768674
384,384,600.0,150.0,28.292880999478765,-5.7690812025334985e-05
385,385,600.0,180.0,28.404777157476374,-0.00798363490193066
386,386,600.0,210.0,28.46177855077076,-0.012033244007020771
387,387,600.0,240.0,28.477881067189397,-0.013178702417881105
388,388,600.0,270.0,28.481567971663623,-0.013441062871676346
389,389,600.0,300.0,28.481675976700426,-0.013448749031858442
390,390,600.0,330.0,28.48177340833238,-0.013455682762478105
391,391,600.0,360.0,28.481919365600557,-0.013466069868630193
392,392,600.0,390.0,28.48191718352345,-0.0134659145798659
393,393,600.0,420.0,28.482106126112647,-0.01347936083124579
394,394,600.0,450.0,28.482050397795625,-0.013475394871451885
395,395,600.0,480.0,28.48208372571069,-0.013477766683956284
396,396,600.0,510.0,28.48210523218643,-0.013479297214056496
397,397,600.0,540.0,28.482162768348807,-0.013483391838933212
398,398,600.0,570.0,28.482199312696988,-0.013485992562340956
399,399,600.0,600.0,28.482217402644462,-0.013487279956898357
